Symbol,yahoo_symbol,name,etf,test_issue,source
PLSE,PLSE,"Pulse Biosciences, Inc - Common Stock",False,False,nasdaq
PLTR,PLTR,Palantir Technologies Inc. - Class A Common Stock,False,False,nasdaq
PLXS,PLXS,Plexus Corp. - Common Stock,False,False,nasdaq
PODD,PODD,Insulet Corporation - Common Stock,False,False,nasdaq
POOL,POOL,Pool Corporation - Common Stock,False,False,nasdaq
POWI,POWI,"Power Integrations, Inc. - Common Stock",False,False,nasdaq
POWL,POWL,"Powell Industries, Inc. - Common Stock",False,False,nasdaq
PPC,PPC,Pilgrim's Pride Corporation - Common Stock,False,False,nasdaq
PPLI,PPLI,People Incorporated - Common Stock,False,False,nasdaq
PPTA,PPTA,Perpetua Resources Corp. - Common Shares,False,False,nasdaq
PRAX,PRAX,"Praxis Precision Medicines, Inc. - Common Stock",False,False,nasdaq
PSMT,PSMT,"PriceSmart, Inc. - Common Stock",False,False,nasdaq
PTC,PTC,PTC Inc. - Common Stock,False,False,nasdaq
PTCT,PTCT,"PTC Therapeutics, Inc. - Common Stock",False,False,nasdaq
PTGX,PTGX,"Protagonist Therapeutics, Inc. - Common Stock",False,False,nasdaq
PTRN,PTRN,Pattern Group Inc. - Series A Common Stock,False,False,nasdaq
PYPL,PYPL,"PayPal Holdings, Inc. - Common Stock",False,False,nasdaq
QBTS,QBTS,D-Wave Quantum Inc. - Common Stock,False,False,nasdaq
QCOM,QCOM,QUALCOMM Incorporated - Common Stock,False,False,nasdaq
QLYS,QLYS,"Qualys, Inc. - Common Stock",False,False,nasdaq
QNT,QNT,Quantinuum Inc. - Class A Common Stock,False,False,nasdaq
QRVO,QRVO,"Qorvo, Inc. - Common Stock",False,False,nasdaq
QURE,QURE,uniQure N.V. - Ordinary Shares,False,False,nasdaq
RDNT,RDNT,"RadNet, Inc. - Common Stock",False,False,nasdaq
REG,REG,Regency Centers Corporation - Common Stock,False,False,nasdaq
REGN,REGN,"Regeneron Pharmaceuticals, Inc. - Common Stock",False,False,nasdaq
RELY,RELY,"Remitly Global, Inc. - Common stock",False,False,nasdaq
REYN,REYN,Reynolds Consumer Products Inc. - Common Stock,False,False,nasdaq
RGEN,RGEN,Repligen Corporation - Common Stock,False,False,nasdaq
RGLD,RGLD,"Royal Gold, Inc. - Common Stock",False,False,nasdaq
RGTI,RGTI,"Rigetti Computing, Inc.  - Common stock",False,False,nasdaq
RIOT,RIOT,"Riot Platforms, Inc. - Common Stock",False,False,nasdaq
RIVN,RIVN,"Rivian Automotive, Inc. - Class A Common Stock",False,False,nasdaq
RKLB,RKLB,Rocket Lab Corporation - Common Stock,False,False,nasdaq
RLAY,RLAY,"Relay Therapeutics, Inc. - Common Stock",False,False,nasdaq
RMBS,RMBS,"Rambus, Inc. - Common Stock",False,False,nasdaq
ROAD,ROAD,"Construction Partners, Inc. - Common Stock",False,False,nasdaq
ROIV,ROIV,Roivant Sciences Ltd. - Common Shares,False,False,nasdaq
ROKU,ROKU,"Roku, Inc. - Class A Common Stock",False,False,nasdaq
ROP,ROP,"Roper Technologies, Inc. - Common Stock",False,False,nasdaq
ROST,ROST,"Ross Stores, Inc. - Common Stock",False,False,nasdaq
RPRX,RPRX,Royalty Pharma plc - Class A Ordinary Shares,False,False,nasdaq
RRR,RRR,"Red Rock Resorts, Inc. - Class A Common Stock",False,False,nasdaq
RUSHA,RUSHA,"Rush Enterprises, Inc. - Class A Common Stock",False,False,nasdaq
RUSHB,RUSHB,"Rush Enterprises, Inc. - Class B Common Stock",False,False,nasdaq
RVMD,RVMD,"Revolution Medicines, Inc. - Common Stock",False,False,nasdaq
RYTM,RYTM,"Rhythm Pharmaceuticals, Inc. - Common Stock",False,False,nasdaq
SAIA,SAIA,"Saia, Inc. - Common Stock",False,False,nasdaq
SAIC,SAIC,Science Applications International Corporation - Common Stock,False,False,nasdaq
SAIL,SAIL,"SailPoint, Inc. - Common Stock",False,False,nasdaq
SANM,SANM,Sanmina Corporation - Common Stock,False,False,nasdaq
SBAC,SBAC,SBA Communications Corporation - Class A Common Stock,False,False,nasdaq
SBCF,SBCF,Seacoast Banking Corporation of Florida - Common Stock,False,False,nasdaq
SBLK,SBLK,Star Bulk Carriers Corp. - Common Shares,False,False,nasdaq
SBRA,SBRA,"Sabra Health Care REIT, Inc. - Common Stock",False,False,nasdaq
SBUX,SBUX,Starbucks Corporation - Common Stock,False,False,nasdaq
SEIC,SEIC,SEI Investments Company - Common Stock,False,False,nasdaq
SEZL,SEZL,Sezzle Inc. - Common Stock,False,False,nasdaq
SFD,SFD,"Smithfield Foods, Inc. - Common Stock",False,False,nasdaq
SFM,SFM,"Sprouts Farmers Market, Inc. - Common Stock",False,False,nasdaq
SFNC,SFNC,Simmons First National Corporation - Common Stock,False,False,nasdaq
SHC,SHC,Sotera Health Company - Common Stock,False,False,nasdaq
SHOO,SHOO,"Steven Madden, Ltd. - Common Stock",False,False,nasdaq
SHOP,SHOP,Shopify Inc. - Class A Subordinate Voting Shares,False,False,nasdaq
SIGI,SIGI,"Selective Insurance Group, Inc. - Common Stock",False,False,nasdaq
SIRI,SIRI,SiriusXM Holdings Inc. - Common Stock,False,False,nasdaq
SITM,SITM,SiTime Corporation - Common Stock,False,False,nasdaq
SKYW,SKYW,"SkyWest, Inc. - Common Stock",False,False,nasdaq
SLAB,SLAB,"Silicon Laboratories, Inc. - Common Stock",False,False,nasdaq
SLM,SLM,SLM Corporation - Common Stock,False,False,nasdaq
